id,left,top,right,bottom,OBJECTID_1,OBJECTID,Major_FA,SubArea,Division,SubDivisio,Unit,Area_Full,Area_27,Area_km2,x,y,Latitude,Longitude
"339",1913647.37175105,7694490.6683848,1933647.37175105,7714490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,7694490.668,56.678,17.191
"340",1913647.37175105,7674490.6683848,1933647.37175105,7694490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,7674490.668,56.579,17.191
"356",1933647.37175105,8114490.6683848,1953647.37175105,8134490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,8114490.668,58.694,17.370
"357",1933647.37175105,8094490.6683848,1953647.37175105,8114490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,8094490.668,58.600,17.370
"358",1933647.37175105,8074490.6683848,1953647.37175105,8094490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,8074490.668,58.507,17.370
"359",1933647.37175105,8054490.6683848,1953647.37175105,8074490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,8054490.668,58.413,17.370
"360",1933647.37175105,8034490.6683848,1953647.37175105,8054490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,8034490.668,58.318,17.370
"361",1933647.37175105,8014490.6683848,1953647.37175105,8034490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,8014490.668,58.224,17.370
"362",1933647.37175105,7994490.6683848,1953647.37175105,8014490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,7994490.668,58.129,17.370
"363",1933647.37175105,7974490.6683848,1953647.37175105,7994490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,7974490.668,58.034,17.370
"364",1933647.37175105,7954490.6683848,1953647.37175105,7974490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,7954490.668,57.939,17.370
"365",1933647.37175105,7934490.6683848,1953647.37175105,7954490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,7934490.668,57.843,17.370
"366",1933647.37175105,7914490.6683848,1953647.37175105,7934490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,7914490.668,57.748,17.370
"367",1933647.37175105,7894490.6683848,1953647.37175105,7914490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,7894490.668,57.652,17.370
"368",1933647.37175105,7874490.6683848,1953647.37175105,7894490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,7874490.668,57.555,17.370
"369",1933647.37175105,7854490.6683848,1953647.37175105,7874490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,7854490.668,57.459,17.370
"370",1933647.37175105,7834490.6683848,1953647.37175105,7854490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,7834490.668,57.362,17.370
"371",1933647.37175105,7814490.6683848,1953647.37175105,7834490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,7814490.668,57.265,17.370
"372",1933647.37175105,7794490.6683848,1953647.37175105,7814490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,7794490.668,57.168,17.370
"373",1933647.37175105,7774490.6683848,1953647.37175105,7794490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,7774490.668,57.070,17.370
"374",1933647.37175105,7754490.6683848,1953647.37175105,7774490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,7754490.668,56.972,17.370
"375",1933647.37175105,7734490.6683848,1953647.37175105,7754490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,7734490.668,56.874,17.370
"376",1933647.37175105,7714490.6683848,1953647.37175105,7734490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,7714490.668,56.776,17.370
"377",1933647.37175105,7694490.6683848,1953647.37175105,7714490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,7694490.668,56.678,17.370
"378",1933647.37175105,7674490.6683848,1953647.37175105,7694490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1933647.372,7674490.668,56.579,17.370
"393",1953647.37175105,8134490.6683848,1973647.37175105,8154490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,8134490.668,58.787,17.550
"394",1953647.37175105,8114490.6683848,1973647.37175105,8134490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,8114490.668,58.694,17.550
"395",1953647.37175105,8094490.6683848,1973647.37175105,8114490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,8094490.668,58.600,17.550
"396",1953647.37175105,8074490.6683848,1973647.37175105,8094490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,8074490.668,58.507,17.550
"397",1953647.37175105,8054490.6683848,1973647.37175105,8074490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,8054490.668,58.413,17.550
"398",1953647.37175105,8034490.6683848,1973647.37175105,8054490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,8034490.668,58.318,17.550
"399",1953647.37175105,8014490.6683848,1973647.37175105,8034490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,8014490.668,58.224,17.550
"400",1953647.37175105,7994490.6683848,1973647.37175105,8014490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,7994490.668,58.129,17.550
"401",1953647.37175105,7974490.6683848,1973647.37175105,7994490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,7974490.668,58.034,17.550
"402",1953647.37175105,7954490.6683848,1973647.37175105,7974490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,7954490.668,57.939,17.550
"403",1953647.37175105,7934490.6683848,1973647.37175105,7954490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,7934490.668,57.843,17.550
"404",1953647.37175105,7914490.6683848,1973647.37175105,7934490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,7914490.668,57.748,17.550
"405",1953647.37175105,7894490.6683848,1973647.37175105,7914490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,7894490.668,57.652,17.550
"406",1953647.37175105,7874490.6683848,1973647.37175105,7894490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,7874490.668,57.555,17.550
"407",1953647.37175105,7854490.6683848,1973647.37175105,7874490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,7854490.668,57.459,17.550
"408",1953647.37175105,7834490.6683848,1973647.37175105,7854490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,7834490.668,57.362,17.550
