id,left,top,right,bottom,Area,OBJECTID,Ecoregion,Shape_Leng,Shape_Le_1,Shape_Area,fid,cat,x,y
"455",15.46909,55.96423,15.56909,55.86423,69622022.638,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.519,55.914
"456",15.46909,55.86423,15.56909,55.76423,69799964.938,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.519,55.814
"457",15.46909,55.76423,15.56909,55.66423,69977684.729,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.519,55.714
"458",15.46909,55.66423,15.56909,55.56423,70155181.483,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.519,55.614
"459",15.46909,55.56423,15.56909,55.46423,70332454.672,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.519,55.514
"460",15.46909,55.46423,15.56909,55.36423,70509503.767,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.519,55.414
"461",15.46909,55.36423,15.56909,55.26423,70686328.244,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.519,55.314
"462",15.46909,55.26423,15.56909,55.16423,70862927.576,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.519,55.214
"496",15.56909,56.06423,15.66909,55.96423,69443858.359,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.619,56.014
"497",15.56909,55.96423,15.66909,55.86423,69622022.638,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.619,55.914
"498",15.56909,55.86423,15.66909,55.76423,69799964.938,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.619,55.814
"499",15.56909,55.76423,15.66909,55.66423,69977684.729,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.619,55.714
"500",15.56909,55.66423,15.66909,55.56423,70155181.483,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.619,55.614
"501",15.56909,55.56423,15.66909,55.46423,70332454.672,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.619,55.514
"502",15.56909,55.46423,15.66909,55.36423,70509503.767,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.619,55.414
"503",15.56909,55.36423,15.66909,55.26423,70686328.244,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.619,55.314
"504",15.56909,55.26423,15.66909,55.16423,70862927.576,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.619,55.214
"537",15.66909,56.16423,15.76909,56.06423,69265472.634,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.719,56.114
"538",15.66909,56.06423,15.76909,55.96423,69443858.359,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.719,56.014
"539",15.66909,55.96423,15.76909,55.86423,69622022.638,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.719,55.914
"540",15.66909,55.86423,15.76909,55.76423,69799964.938,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.719,55.814
"541",15.66909,55.76423,15.76909,55.66423,69977684.729,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.719,55.714
"542",15.66909,55.66423,15.76909,55.56423,70155181.483,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.719,55.614
"543",15.66909,55.56423,15.76909,55.46423,70332454.672,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.719,55.514
"544",15.66909,55.46423,15.76909,55.36423,70509503.767,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.719,55.414
"545",15.66909,55.36423,15.76909,55.26423,70686328.244,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.719,55.314
"546",15.66909,55.26423,15.76909,55.16423,70862927.576,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.719,55.214
